# charactristic, type, id, mat1, mat2, tmat, weight, delta
80227acb382d7b47f3714bd1223bedaf,32,1,da251b45,fed0ffb5,9b5cf7ff,67,0
db46f27d546507bdf3445acd188fa8a3,32,1,a55a14aa,fd28ff4b,c2b9efff,67,0
e1c47f40863c844be54fc078750562ef,32,1,a45b148a,fd20ff49,79aff7ff,61,0
d1346cadec1fbc329d1fe2283a577b77,32,1,837c106e,fc18ff07,5fffa9bf,71,0
c7487f9b2e8f8aaa231ac4b22b14db9b,32,1,817e102e,fc08ff03,69f3f77f,65,0
b0d7d986ce26326dbb6b0fccda28bdbb,32,1,68970d13,fb40fed1,d868edff,71,0
c0edefb49baf0424fd235ce48e8d26fb,32,1,45ba08b6,fa28fe8b,9c503dff,69,0
b24aa41c9eba05c4ffa8fc0e90438c37,32,1,2cd3059b,f960fe59,e67d73ff,61,0
a6aca2283f3e12ed69818bd95c35d00b,32,1,19e6033d,f8c8fe33,207e65ff,61,0
a86f5f29166785b075c431b027044287,32,1,fa041f41,f7d8fdf7,9c3efdff,57,0
e570ac318b37d9caa71ba4b99bad6a3b,32,1,f40a1e80,f7a8fdeb,e1cffbfd,69,0
d227f7cbfb9408765dd7da7d51790a13,32,1,f10f1e20,f780fde1,cac37fff,71,0
833689351c2ed91b5f56d10bde4b5197,32,1,db251b65,f6d0fdb5,17bd7bff,65,0
dd68340e3a7a7b8d993c6f412b125ca7,32,1,c23c1846,f618fd87,899e7dff,65,0
9898245c4fccabd1617bb16fff089643,32,1,ae5015cb,f578fd5f,93fc9ffd,65,1
e04a99bcc12b07a661440bef54402207,32,1,926c124c,f498fd27,01bbff5f,53,0
e577c4a9b8bfcfd2cbf406360cf3a767,32,1,877910ee,f430fd0d,81df7bfd,73,0
ea3adf54d6f1db6253ba77c856877503,32,1,52ac0a54,f298fca7,b53f7d5f,71,0
c3f91c4abfaca6785104c63e72fd9ac3,32,1,44ba0896,f228fc8b,a5732dfd,67,0
e7682656da3a0661738345d74f968d2f,32,1,f70a1ee0,efa8fbeb,697ee7ff,65,0
e2557b43a3aece15d933480e1725084f,32,1,e21f1c42,ef00fbc1,294fffff,61,0
be91d37ae6ee4d323775a7093f49f9af,32,1,cc311987,ee70fb9d,d5c29dff,75,0
df70be696b77a4264da48e2fff29bbb3,32,1,c13c1826,ee18fb87,9fcf77fd,75,1
8b5bf51ac6d1ab27897a2a0fbff6a80b,32,1,8d7011af,ec78fb1f,041cedff,69,0
8b592d226971cc6cd5dfeecd9fe92cdb,32,1,6b960d73,eb48fad3,7c1aedff,73,0
cc3328727fd33d8105b461ae96c61aef,32,1,30cd0618,e990fa65,bce3dffd,65,0
e0cdb6796f1a88efadbadd81ea0f704f,32,1,33ce0678,e988fa63,81ccf3ff,71,0
ffd510599e53c0ef8d661de605fb3b9f,32,1,f00c1e00,e798f9e7,6ab9f7ff,73,1
9cae684870de084adf9b658d18ae8553,32,1,ca361947,e648f993,9b7dfdff,61,0
ac59133d2975262bcb24e552c0a25197,32,1,9e6213cd,e4e8f93b,5409f6ff,59,0
defbe835b0485698f9e523f5692db2d7,32,1,629e0c52,e308f8c3,4770ffff,71,1
a313605874b324833f8536230d884eaf,32,1,38c40719,e1d8f877,e46e3fff,57,0
8aab2b2b0478061544c401c475a4ed1b,32,1,f8031f01,dfe0f7f9,6fdfceff,53,0
bdfc70d174dbd7a9be087f00bf708d33,32,1,fd061fa1,dfc8f7f3,9532dfff,71,0
c2898526e0bc921b3cab991491be40c7,32,1,e3181c62,df38f7cf,1de7e57f,57,0
c52ecd31fa3c7bdebe37c58014383977,32,1,c13a1826,de28f78b,cce7b7ff,69,0
f27efe53b917bc7a281419cb49b29403,32,1,b74c16e8,dd98f767,cc23aaff,65,0
fa967581627926446e63f063b65fbb07,32,1,a65d14ca,dd10f745,816c7dff,67,0
9438db572e0ebcabd0596c790c54afaf,32,1,9863130d,dce0f739,56beef7f,67,0
8f911ea64e64d879829bae92ba49a527,32,1,9e6513cd,dcd0f735,35cf67ff,63,0
d1cd7ba5c7901da41854d41a6f0f2cc7,32,1,619a0c32,db28f6cb,6fe79fff,63,0
88348e89fb4456f75ca236c41fd05847,32,1,5aa10b55,daf0f6bd,fc1bfbff,61,0
f27c266b16b7db3174b1dd0969ad10d3,32,1,51aa0a34,daa8f6ab,79a2bdff,67,0
dbbfe5757feaa62b760f6cff4dd7ff13,32,1,47bc08f6,da18f687,6fecbd7f,85,0
c52c1509559c1c95e29201423427bda7,32,1,27dc04fa,d918f647,8df5dfff,55,1
a7dc3b44602e268e042ed4f3bf760a0f,32,1,be4417c9,d5d8f577,472ae6ff,63,0
9fc4a37bd16384c93a091f0b0fc93c93,32,1,8872110f,d468f51b,743f3edf,63,0
846d668ab109e01b68cbdde0b9d4361b,32,1,8e7411cf,d458f517,6b53ffff,61,1
846fbeb21ea98750346e192299cbb2cb,32,1,68920d13,d368f4db,dec237ff,63,1
af3668ae14e0dbfb1efcf9996084a1db,32,1,49b30937,d260f499,680f7dff,69,0
c305bbe2080b76bde405964190e484ff,32,1,33c90678,d1b0f46d,9ad36ffd,59,0
effb25e918c2c3d34c0b2a6eec2dee5f,32,1,30ca0618,d1a8f46b,e9aeb6ff,71,0
eac678fc61560ba7e6bb27b7b49e6b3f,32,1,25df04ba,d100f441,f48af6ff,75,0
aa89aade5f6ded9548f8446331393f7f,32,1,68910d13,cb70f2dd,d46cf77f,71,0
9ddef1242fce3c29b2343aa7fbed5f57,32,1,6d940db3,cb58f2d7,19b3a7ff,75,0
a5c6691b9e839e6e8c13f15f4b5269cb,32,1,5ba20b75,cae8f2bb,78927dfd,67,0
c9f5ba578268332876ea9e87bb324cef,32,1,21d8043a,c938f24f,e4fcf2ff,69,0
df89a96140f805b0c8efb81daa71ec03,32,1,23da047a,c928f24b,14a5adff,61,0
86705c4d7c2c4ee38c195ac3daae9883,32,1,18e1031d,c8f0f23d,9767df7f,61,0
d14a546069a192edd4aa0274d1407e8f,32,1,c0381806,c638f18f,b4bf3d7f,57,0
